#,Date,Time (IST),Phase,Commit Hash,Type,Title,Files Changed,Feature / Change Description,Impact,Components Affected
1,2026-01-26,19:17,Phase 0 — Project Setup,5ffd5fb,chore,Initial commit: project setup,".gitignore, ML_Driven_DLP_Incident_Severity_Project_Plan.pdf, first.py, labeling_guide.md",Repository scaffolded. Project plan PDF added. Labeling guide created. .gitignore configured.,Foundation,Root
2,2026-01-27,21:40,Phase 1 — Data Generation,90592f4,feat,"bin, sub_bin, bin_labels","bins_gen.py, sub_bin_gen.py, sub_bin_context.py, bins/bin_001.jsonl, bins/bin_002.jsonl, bins/bin_003.jsonl, bin_001_clustered_final.json, bin_001_labels.json, bin_001_subbin_summary.csv, all_bins.csv, Email_DLP architecture PDF","Generated 10,000 synthetic DLP events per bin (3 bins total = 30,000 events). Applied DBSCAN clustering (eps=0.5, min_samples=20) on 4 features to create sub-bins. Analyst labels assigned per sub-bin. 30k row combined CSV created.",Core Data Layer,"Mockdata_gen, bins/"
3,2026-01-27,21:44,Phase 1 — Documentation,402e839,docs,added readme,readme.md,Initial README added documenting project structure.,Documentation,readme.md
4,2026-01-27,21:52,Phase 1 — Documentation,d8d3b3b,docs,updated readme,readme.md,"README expanded with pipeline flow, feature explanations, and DBSCAN rationale.",Documentation,readme.md
5,2026-07-11,13:29,Phase 2 — Multi-Bin Architecture,148620d,release,Phase 2 Stable: Multi-Bin Architecture,"baseline_engine.py, train.py, classify.py, build_sender_history.py, add_timestamps.py, predict.py, gen_test_log.py, gen_10k_mixed_log.py, gen_dashboard.py, models/bin_001/, models/bin_002/, models/bin_003/, bins/*_enriched.jsonl, bins/*_timestamped.jsonl, generate_labels_002_003.py, sample_log.jsonl, sample_mixed.jsonl, test_10k_mixed.jsonl, test_results.jsonl, dashboard.html, requirements.txt, readme.md","10 behavioral features added via baseline_engine.py (30d/7d violation counts, policy repeat, new receiver, volume zscore, policy diversity, days since last, hour, weekend, after-hours). Models trained for all 3 bins (Gradient Boosting selected). Dynamic bin routing in classify.py. DummyModel for BIN_003 single-class. 10k mixed log simulator. Interactive HTML dashboard. Sender history serialised.",Full ML Pipeline,"src/, models/, bins/, Mockdata_gen/"
6,2026-07-11,13:40,Phase 2 — UI,6042f12,feat,Add Streamlit Multi-Bin App UI,"src/app.py, app_run, requirements.txt","Streamlit application created with two tabs: Single Incident Analyzer and Batch File Processor. Sidebar inputs for sender, receiver, policy, CC, violation count. Dynamic bin routing in UI. Behavioral context metrics displayed. Download button for batch classified JSONL output.",User Interface,src/app.py
7,2026-07-11,13:48,Phase 2 — UI,aaf55aa,fix,Streamlit UI refactor to single-view with context metrics,src/app.py,"Refactored UI to single-view layout. Added behavioral context metric cards (30d violations, 7d violations, last violation, new receiver). Side-by-side columns for Behavioral Context and Model Features JSON.",UX Improvement,src/app.py
8,2026-07-11,15:18,Phase 3 — Production Data,837754b,feat,Integrated production DLP scenarios and retrained models,"bins/*_enriched.jsonl, bins/*_timestamped.jsonl, models/bin_001/, models/bin_002/, models/bin_003/, src/app.py, src/baseline_engine.py, src/classify.py","Added violation_count field to all events. Introduced is_ftc, is_encrypted_payload, is_personal_recipient, has_manager_cc, internal_cc_count as new production context features. violation_count added as 11th behavioral feature. Models retrained for all 3 bins with new 11-feature set. Confidence-threshold gating logic added to classify.py. Regex false-positive detection (context_confidence < 0.5). Layered severity scenarios: FTC+personal=CRITICAL, manager CC=MEDIUM, volume spikes.",Production Realism,"src/baseline_engine.py, src/classify.py, models/, bins/"
9,2026-07-11,15:38,Phase 3 — Rule Refinements,7620b32,fix,Automatic FTC detection and ENCRYPTED policy overrides,"src/baseline_engine.py, src/app.py, src/classify.py, bins/*_enriched.jsonl, bins/*_timestamped.jsonl, models/","FTC detection changed from explicit sender_type field to automatic @yuvaext email domain detection. ENCRYPTED policy now overrides all other rules and sets severity directly to CRITICAL. Severity rule hierarchy restructured: ENCRYPTED check first, then FTC+personal, then CC/domain scenarios. Models retrained with corrected feature logic.",Rule Logic Fix,src/baseline_engine.py
10,2026-07-11,16:31,Phase 3 — Enterprise Ingestion,4194a50,feat,Built Netskope CSV ingestion adapter and added violations feature,"src/ingest_netskope.py, src/gen_netskope_logs.py, netskope_sample.csv, bins/*_analyst_labels.json, bins/*_enriched.jsonl, bins/*_timestamped.jsonl, models/","gen_netskope_logs.py: generates 10,000 synthetic Netskope-format CSV events with Acting User, Receiver, CC, DLP Policy, # Violations, Status, Timestamp. Status mapped to severity: FalsePositive/businessrequirement->MEDIUM, pending review->HIGH, Critical_Escalation->CRITICAL. ingest_netskope.py: parses CSV, routes to correct bin by policy, writes timestamped JSONL and analyst_labels.json. Models retrained on Netskope-format data.",Enterprise Data Ingestion,"src/ingest_netskope.py, src/gen_netskope_logs.py, bins/"
11,2026-07-11,16:35,Phase 3 — Explainability,13c56a1,feat,Added local LLM integration via Ollama for explainable AI reasoning in UI,src/app.py,get_llm_reasoning() function added. Queries Ollama API at localhost:11434/api/generate with llama3 model. Prompt instructs model to explain severity as SOC analyst. AI Analyst Reasoning section added to Tab 1 UI below model features.,Explainability / XAI,src/app.py
12,2026-07-11,22:33,Phase 3 — Bug Fixes,in-session,fix,Fixed Ollama 404: dynamic model discovery + IPv4 binding,src/app.py,get_ollama_model() helper added: queries /api/tags endpoint to discover installed models dynamically. Prioritises llama3.1:latest over llama3. Falls back to first available model. Host changed from localhost to 127.0.0.1 (avoids IPv6 routing issue on Windows). Timeout increased from 10s to 40s to allow model load time.,Bug Fix,src/app.py
13,2026-07-11,22:49,Phase 4 — Human-in-the-Loop,7dd4a51,feat,Phase 4: Human-in-the-Loop feedback loop with auto-retraining,"src/retrain_from_feedback.py (NEW), src/app.py, readme.md, feedback_log.jsonl (NEW)","NEW: retrain_from_feedback.py - loads original enriched training data, loads analyst override corrections from feedback_log.jsonl, duplicates each correction 3x (FEEDBACK_WEIGHT) to prioritise analyst judgement, trains all 3 models (LR/RF/GBT), selects best by FN rate, overwrites model artifacts. UI: feedback form added to Tab 1 after every prediction (confirm/override + notes). New Tab 3 (Analyst Feedback): correction history table, per-bin summary metrics, Retrain buttons that trigger in-process retraining and clear Streamlit cache immediately. README updated with Phase 3 details.",Human-in-the-Loop / Auto-Retraining,"src/retrain_from_feedback.py, src/app.py, feedback_log.jsonl"
